,org_airport,dest_airport,dist
950,DEN,MCO,1546
951,MCO,DEN,1546
952,DFW,DSM,624
953,GRK,DFW,134
954,PNS,DFW,604
955,GJT,DFW,773
956,HPN,ORD,738
957,BMI,DFW,690
958,DFW,MAF,309
959,ATL,FLL,581
960,ACY,FLL,977
961,LBE,RSW,956
962,IAH,LAS,1222
963,FLL,MCO,177
965,ASE,DEN,125
966,BUR,SFO,326
969,SEA,PDX,129
970,RKS,DEN,260
971,SBA,SFO,262
972,BOI,ORD,1437
973,CPR,SLC,320
977,MSY,IAH,305
979,MIA,TPA,204
980,BTR,IAH,253
981,BTV,ORD,763
982,FLL,BWI,925
983,SFO,BOI,522
984,ORD,SFO,1846
986,BDL,FLL,1173
988,CMH,TPA,829
989,DAL,BWI,1209
990,DAL,STL,546
992,MCO,LAS,2039
993,MDW,MCO,990
994,OAK,HOU,1642
995,SAT,ELP,496
996,TPA,BWI,842
997,TUS,DEN,639
998,SNA,EWR,2434
999,RDU,CLT,130
1000,MKE,PHX,1460
1001,BWI,PHX,1999
1004,ORF,DFW,1212
1006,MIA,LAX,2342
1007,MIA,JFK,1089
1009,IND,DFW,761
1010,CMH,DFW,926
1011,LAS,LGB,231
1012,LGB,SMF,387
1013,FLL,JAX,319
1014,STL,ATL,484
1015,MSP,LGA,1020
1017,SEA,JFK,2422
1018,SAN,DTW,1956
1020,MSP,TUS,1298
1021,LIT,ATL,453
1023,FSD,DFW,737
1026,EUG,LAX,748
1027,SJC,LAX,308
1028,LAX,SLC,590
1032,SHV,IAH,192
1033,MCO,BOS,1121
1036,GUM,HNL,3801
1037,LAX,HNL,2556
1038,ORF,CLT,290
1039,AUS,BWI,1342
1040,CAK,BOS,549
1041,CMH,RSW,930
1042,DAL,LGA,1381
1043,LAS,SNA,226
1044,SAN,DAL,1182
1045,ONT,MDW,1706
1047,PIT,PHX,1814
1052,ANC,SCC,627
1053,SEA,ONT,956
1054,PHL,SLC,1927
1056,CVG,ATL,373
1057,BOS,TPA,1185
1058,IND,ATL,432
1059,TVC,ORD,224
1060,DCA,DEN,1476
1061,ALO,ORD,234
1062,TLH,MIA,402
1063,TPA,DTW,983
1064,ASE,ORD,1013
1065,MEM,LAX,1619
1066,RIC,EWR,277
1067,AUS,LGB,1226
1069,MIA,SJU,1045
1074,CLE,SFO,2161
1076,MSY,CLT,651
1078,BOI,DEN,649
1079,BNA,LAS,1587
1080,CMH,LAS,1771
1081,DCA,BNA,562
1082,ISP,PBI,1052
1083,MCO,MDW,990
1084,SAN,SJC,417
1086,STL,LAS,1371
1087,HOU,MDW,937
1090,PBI,EWR,1023
1092,MIA,SFO,2585
1094,ELP,DFW,551
1099,DFW,RDU,1061
1100,RNO,DFW,1345
1102,SMF,SEA,605
1105,MCO,HPN,972
1106,BOS,STT,1693
1107,MEM,MCO,684
1108,CLT,ATL,226
1110,PHX,JFK,2153
1117,CLE,LGA,419
1118,IAD,CVG,388
1119,MCO,MDT,851
1121,MHK,ORD,501
1123,TUS,LAX,451
1124,IMT,RHI,67
1125,MRY,LAX,266
1126,ASE,LAX,737
1127,EWR,PBI,1023
1128,SFO,SBP,190
1136,DTW,IAH,1075
1137,ORD,MKE,67
1138,IAH,BWI,1235
1140,ORD,LAX,1744
1141,LAX,BNA,1797
1142,LGA,DAL,1381
1143,MCI,MCO,1072
1145,ALB,FLL,1204
1146,PVD,TPA,1136
1147,SFO,LAS,414
1148,PDX,LAS,763
1150,TPA,PHX,1788
1152,DFW,PHL,1303
1154,IAD,MIA,921
1157,MIA,MCO,192
1158,BDL,DFW,1471
1160,SEA,JNU,909
1162,PDX,KOA,2607
1163,OAK,OGG,2349
1167,ATL,SLC,1590
1168,CVG,TPA,773
1169,PDX,SLC,630
1170,ORD,RIC,642
1171,CLE,MSP,622
1172,IAH,DTW,1075
1173,IAH,CMH,986
1174,DFW,HOU,247
1175,LCH,DFW,295
1176,LIT,ORD,552
1177,BIS,DFW,977
1178,DFW,CVG,812
1179,IAH,MCO,854
1180,ORF,ORD,717
1181,LAX,CLD,86
1182,TYS,ORD,475
1183,ELP,DEN,563
1186,JNU,KTN,234
1188,HNL,SFO,2398
1189,JAC,DEN,406
1190,PHX,IAD,1956
1191,IAH,IAD,1190
1192,ORD,CLT,599
1193,BDL,DEN,1671
1194,DEN,CAK,1224
1196,ATL,DAL,721
1197,PIT,RSW,966
1198,RIC,MCO,667
1201,CMH,PHX,1670
1202,DTW,PHX,1671
1203,SJC,ORD,1829
1204,ABQ,DFW,569
1205,PSP,DFW,1126
1206,TPA,LAX,2158
1213,FLL,MSP,1487
1214,IAH,ATL,689
1215,ATL,BDL,859
1216,RAP,DFW,835
1217,DFW,CRP,354
1218,MEI,DFW,485
1219,CVG,FLL,932
1220,DBQ,ORD,147
1221,GCK,DFW,404
1222,GNV,MIA,294
1226,BRD,MSP,114
1227,SAT,DTW,1214
1229,MCO,CLE,895
1231,IAH,EWR,1400
1233,IAH,GPT,376
1234,DIK,DEN,488
1236,BTV,LGA,258
1237,IAH,LAX,1379
1238,LGA,IAH,1416
1239,ATL,SFO,2139
1241,LGA,TPA,1010
1242,BNA,SLC,1404
1243,CLT,PHX,1773
1247,LAS,BUR,223
1248,RDU,LAS,2026
1250,IAH,DEN,862
1251,PHL,ORD,678
1252,STL,PHX,1262
1258,STL,ORD,258
1259,DFW,MCI,460
